text,"['Name_Calling,Labeling']","['Exaggeration,Minimisation']","['Doubt', 'Appeal_to_fear-prejudice']",['Black-and-White_Fallacy'],"['Straw_Men', 'Whataboutism', 'Red_Herring']",['Bandwagon'],['Flag-Waving'],"['Repetition', 'Slogans']"
Madagascar Hospitals On High Alert: ‘No One Is Safe’ From The Black Plague,0,1,1,0,0,0,0,1
"As the outbreak worsens, some doctors are even warning that “no one is safe” from the disease.",0,1,1,0,0,0,0,1
"The outbreak of the black plague in Madagascar has so far killed 97 people, and doctors are warning that it will be continuing to spread and worsen, meaning no one is safe.",0,1,0,0,0,0,0,1
"Hundreds of cases are reported on the tropical island every year, but experts are warning the epidemic is “much more dangerous” than in previous years.",0,0,1,0,0,0,0,0
"And the number of cases is growing by the day, said Elhadj As Sy, the secretary general of the International Federation of Red Cross and Red Crescent Societies (IFRC) as the nation put all hospitals on high alert.",0,0,0,0,0,0,0,0
The IFRC said it’s introducing the same “safe and dignified” burial methods used in West Africa during the 2014 Ebola epidemic.,0,0,0,0,0,0,0,0
"Although the black plague can be treated effectively with antibiotics, the incubation time of this bacteria is incredibly short.",0,0,0,0,0,0,0,0
"Jimmy Whitworth, professor of International Public Health at the London School of Hygiene and Tropical Medicine, told The Sun: “It has been a long time since we have seen the plague in an urban environment. Although health officials have said that internationally, the threat is still fairly low, they’ve also said no one in Madagascar is safe, including travelers, spiking concerns over a possible global pandemic.",0,0,0,0,0,0,0,0
"Although health officials have said that internationally, the threat is still fairly low, they’ve also said no one in Madagascar is safe, including travelers, spiking concerns over a possible global pandemic.",0,0,1,0,0,0,0,1
"Manitra Rakotoarivony, Madagascar’s director of health promotion, said: “Normally, people who catch the plague live in poor areas, but people in every place in society are catching the disease.",0,0,1,0,0,0,0,0
"America stands with the people of Iran in their courageous struggle for freedom.” By contrast, Barack Obama and his obsequious acolytes were besotted by the prospect of forging détente with the despotic mullahs of the Islamic Republic.",0,0,0,0,0,0,1,0
"By contrast, Barack Obama and his obsequious acolytes were besotted by the prospect of forging détente with the despotic mullahs of the Islamic Republic.",1,0,0,0,0,0,0,0
Yesterday’s State of the Union address issued by Donald Trump represented a refreshing break from the eight years of pusillanimous foreign policies pursued by past administration.,0,0,0,0,0,0,0,0
"When it comes to Iran’s governing authorities, the Trump administration is under no illusions about the nefarious nature of this fascist theocracy. “We are restoring clarity about our adversaries,” Trump stated in a not too subtle jibe at his predecessor who seemed to be in a perpetual state of confusion about who his friends and enemies were.",0,0,0,0,0,0,0,0
"The mullahs have become cognizant of the fact that there’s a new sheriff in town, one that backs up tough talk with action and doesn’t ask “how high” when they say “jump.” Clearly, the IRGC’s new docile posture in the Arabian Gulf is a direct consequence of this realization.",0,0,0,0,0,0,0,0
"” Clearly, the IRGC’s new docile posture in the Arabian Gulf is a direct consequence of this realization.",0,0,0,0,0,0,0,0
"On the contrary, the Iranians correctly viewed him as weak, indecisive and ineffectual.",0,0,0,0,0,0,0,0
"In a misguided effort to secure Iran’s willingness to sign the Joint Comprehensive Plan of Action, Obama sold everything including the kitchen sink.",0,0,0,0,0,0,0,0
The tried and true concept of peace through strength gave way to fecklessness through appeasement.,0,0,0,0,0,0,0,0
"Worse, it emboldened the mullahs (appeasement tends to do that) who seemed to revel in Obama’s groveling.",0,0,0,0,0,0,0,0
Iran’s mischief-making extends far and wide but it is in the Arabian Gulf where friction between the IRGC and the United States Navy remains constant.,0,0,0,0,0,0,0,0
"Ironically, the seizure occurred on the very day that Obama was to give his State of the Union address but predictably, he didn’t think that the seizure of Americans was important enough to note. But according to the Navy, the past five months have witnessed markedly less belligerent conduct from the Iranians, leaving Navy officials baffled by the sudden positive change in attitude.",0,0,0,0,0,0,1,0
