text,"['Name_Calling,Labeling']","['Exaggeration,Minimisation']","['Doubt', 'Appeal_to_fear-prejudice']",['Black-and-White_Fallacy'],"['Straw_Men', 'Whataboutism', 'Red_Herring']",['Bandwagon'],['Flag-Waving'],"['Repetition', 'Slogans']"
"“I don’t regard Louis Farrakhan as an aberration or anything, I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,” he emphasized later.",0,1,0,0,0,0,0,0
Would a Republican get a pass on meeting with a racist hate group leader? Obviously not. Obama's meeting with Farrakhan was part of a CBC event.,0,0,0,1,0,0,1,0
Don't expect it to condemn Rep. Davis' comments. He was just saying what most of them think. The media is happy to talk about anti-Semitism.,0,0,0,0,0,0,0,0
"Farrakhan had praised Hitler and declared that the Jews, ""can't say 'Never Again' to God, because when he puts you in the ovens, you're there forever.” ""Here come the Jews.",0,0,0,0,0,0,0,0
"“Here come the Jews. They don't like Farrakhan, so they call me Hitler. Well, that's a good name. Hitler was a very great man."" Would a Republican get a pass on meeting with a racist hate group leader?",0,0,0,0,0,0,0,0
Dem Congressman Praises Hitler-Loving Anti-Semite,1,0,0,0,0,0,0,0
The media is very interested in racism.,0,0,0,0,1,0,0,0
"Well, that's a good name. Hitler was a very great man.",0,0,0,0,0,0,0,0
Would a Republican get a pass on meeting with a racist hate group leader?,0,0,1,0,0,0,0,0
The media is happy to talk about anti-Semitism.,0,0,0,0,1,0,0,0
Foolish Religion Author Gary Wills: ‘The Religion of the Qur’an Is a Religion of Peace’,1,0,0,0,0,0,0,0
"Outside of specialists and seekers, the only reason why there is general interest in the Qur’an among non-Muslims is to seek an answer to the question of whether or not it justifies and encourages Islamic terrorism.",0,0,0,0,0,0,0,0
Wills is no more trustworthy when he deals with the question of violence in the Qur’an.,0,0,1,0,0,0,0,0
"Wills doesn’t mention the existence of such interpretations, even to dismiss them.",0,0,1,0,0,0,0,0
"Likewise, when he claims that the Qur’an has “not a thing” to say about Sharia, he appears unaware that the Qur’an is one of the sources of Sharia.",0,0,1,0,0,0,0,0
Again and again it turns out that Wills has ignored key passages in order to make his case.,0,0,1,0,0,0,0,0
"How would Garry Wills explain all that? He can’t; he has just explained all Qur’anic violence and intolerance away, leaving the manifest fact that all too many Muslims worldwide think that the Qur’an says exactly what he claims it does not say an unanswered conundrum.",0,0,1,0,0,0,0,0
"Wills’ naïve, inaccurate, misleadingly sunny view of the Qur’an, of course, accords with that of his fellow Leftist Catholic, Pope Francis.",1,0,1,0,0,0,0,0
What did the scripture of Islam tell me about the duty to kill infidels?,1,0,0,0,0,0,0,0
"That would be good to know, were Wills a reliable witness. Unfortunately, he proves to be just the opposite: Wills laments “Robert Spencer of Jihad Watch calling for a ban on the Qur’an” (p.",0,0,1,0,0,0,0,0
"Wills, not surprisingly, does not offer any quotation from me to back up his false claim.",0,0,1,0,0,0,0,0
"Wills seems determined to put the best possible face on the Qur’an, which requires him to ignore a great deal of Qur’anic incitement and hatred.",0,1,0,0,0,0,0,0
"114) -- but he nonetheless concludes, after ten pages of tu quoque arguments and other legerdemain, that “the Qur’an is fraternal in its treatment of other faiths” (p.",1,0,0,0,0,0,0,0
He ignores the fact that some Islamic authorities see this passage as calling for nothing less than unlimited warfare against non-Muslims.,0,1,1,0,0,0,0,0
"Throughout his book, Wills’ assurances that the Qur’an is not really as bad as “right-wing Islamophobes” say, or that the Bible contains material that is just as bad or worse, dissolve under close scrutiny.",1,0,0,0,1,0,0,0
He asks why the Qur’an is “so ferocious to ‘hypocrites’ and apostates” (p.,0,0,0,0,0,0,0,0
Then he offers a quotation from the New Testament Letter to the Hebrews saying that “if we sin again on purpose” there is “only a terrifying judgment to come” (p.,0,0,0,0,0,0,0,0
"Wills concludes: “The Qur’an is not as absolute as this, because it always leaves room for God’s inexhaustible mercy and forgiveness” (p.",0,1,0,0,0,0,0,0
"That sounds wonderful, and certainly pleasing to multicultural ears to learn that the Qur’an is more merciful than the New Testament.",0,0,0,0,0,0,0,0
"Until one realizes that, in his discussion of apostasy in the Qur’an, Wills has omitted all mention of the primary Qur’anic passage on this topic:",0,0,1,0,0,0,0,0
"” God’s inexhaustible mercy, indeed.",0,0,0,0,0,0,0,0
"Wills’ peaceful fantasy Qur’an raises one massive question that the author does not and cannot answer: if the Islamic holy book is really as peaceful and benign as Garry Wills makes it out to be, why do so very many Muslims worldwide misunderstand it?",0,1,1,0,0,0,0,0
"The Islamic State (ISIS), in its heyday, quoted the Qur’an frequently -- odd behavior if the group actually was ignorant of, indifferent to, or in violation of the book’s core tenets.",0,0,0,0,0,0,0,0
"ISIS quoted the Qur’an extensively in threats to blow up the White House and conquer Rome and Spain; in explaining its priorities in the nations it is targeting in jihad; in preaching to Christians after collecting the jizya (a Qur’an-based tax, cf.",0,0,0,0,0,0,0,0
” Wills’ book accords well with the present-day Catholic Church’s head-in-the-sand posture toward Qur’an-based Islamic jihad violence and the Muslim persecution of the ancient Christian communities of the Middle East.,0,0,0,0,0,0,0,0
"It isn’t remotely accurate, but it feels good, and for the Catholic and Leftist establishment today, that seems to be all that matters.",0,0,0,0,0,0,0,0
"Wills never mentions Qur’an 9:29, which commands Muslims to wage war against Jews and Christians and subjugate them as inferiors under the rule of Sharia.",0,0,1,0,0,0,0,0
Wills doesn’t give any source for it; apparently it comes from none other than Garry Wills himself.,0,0,1,0,0,0,0,0
"To eradicate these, Muslims are required to wage war until there exists none of it in the world, and the only religion is that of Allah.",0,0,0,0,0,0,0,0
"“That’s kind of my attitude now: If I don’t expect the Catholic Church to do anything, then I won’t be too disappointed when they don’t do anything,” he continued.",0,0,0,0,0,0,0,0
"Jim Scanlan, another survivor, said “the timing of it is too perfect” given the controversy last month surrounding Pope Francis’s remarks that accused victims of a notorious Chilean pedophile priest, the Rev.",1,0,0,0,0,0,0,0
"O’Malley, the archbishop of Boston, said in the statement that the pope had “given much prayerful consideration” to the membership of the panel.",0,0,0,0,0,0,0,0
"Given his long experience witnessing the church’s inertia on the issue, Saviano said, he has set his expectations at rock bottom.",0,0,1,0,0,0,0,0
"Given his long experience witnessing the church’s inertia on the issue, Saviano said, he has set his expectations at rock bottom. “That’s kind of my attitude now: If I don’t expect the Catholic Church to do anything, then I won’t be too disappointed when they don’t do anything,” he continued.",0,0,0,0,0,0,0,0
"Scanlan said Pope Francis has given him hope for progress on some issues in the church, but on sexual abuse, he “continues to be blind to what the church has done.”",0,0,0,0,0,0,0,0
"Fernando Karadima, of “slander” against Bishop Juan Barros, who the victims say was complicit in a cover up.",0,0,0,0,0,0,0,0
“I’ve seen little that has changed.,0,0,1,0,0,0,0,0
"The bizarre “sonic attacks” against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.",0,0,0,0,0,0,0,1
"But now, the sonic attacks have progressed beyond Cuba.",0,0,0,0,0,0,0,1
"State Department has remained all but silent on the issue as well, other than to characterize their suspicion as unknown “sonic attacks” targeted U.",0,0,0,0,0,0,0,1
A Texas mother’s teenage son was allegedly attacked at a Whataburger for wearing a MAGA (Make America Great Again) hat.,0,0,0,0,0,0,0,1
"The woman claimed a man became extremely angry at her teenage son and his group of friends because one of them wore a “Make American Great Again” hat, KENS5 reported.",0,0,0,0,0,0,0,1
"With MAGA hat in hand, the man walks away saying “Bitch ass motherf**ker.”",0,0,0,0,0,0,0,0
A police report was filed and a man was fired for stealing the hat and the assault (throwing a drink in a Trump supporter’s face.,1,0,0,0,0,0,0,1
Texas Mom: My Son Was Attacked For Wearing A MAGA Hat At Whataburger,0,0,0,0,0,0,0,1
The video shows the man throwing his fountain drink at the table and shouting a racial slur.,0,0,0,0,0,0,0,0
"According to Breitbart, in the mother’s post on Facebook, which has since been taken down, Patricia Spittler asks for help in identifying the man she called “scum bag of the year.",1,1,0,0,0,0,0,0
"” The San Antonio CBS affiliate reported that Spittler wrote: “His friend was wearing a patriotic hat, and this happened!",0,0,0,0,0,0,1,0
” Spittler added: “Real tough guy… approaches a group of teenagers minding their own business just having a burger!,1,0,0,0,0,0,0,0
Disturbing video of young Trump Supporter having his MAGA hat stolen and a drink thrown in his face.,1,0,0,0,0,0,0,1
The civility of the Left on full display… pic.,0,1,0,0,0,0,0,0
"With MAGA hat in hand, the man walks away saying “Bitch ass motherf**ker.",0,0,0,0,0,0,0,1
"“I support my President and if you don’t, let’s have a conversation about it instead of ripping my hat off.",0,0,0,0,0,0,0,1
"You ain’t supporting shit nigga,” and then throws the drink in the face of a 16-year-old boy.",1,0,0,0,0,0,0,0
Saucier told Fox News he was scapegoated by Obama officials who found themselves under fire for not aggressively responding to Clinton’s handling of classified information through her private email servers.,0,0,0,0,0,0,0,0
“My conviction and subsequent sentence for a minor military infraction compared to the treatment of politically connected individuals is a glaring example of a violation of the rights of all Americans to have equal protection under the law.,0,0,0,0,0,0,1,0
"According to Fox News, Saucier’s federal lawsuit alleges that the United States government was “overzealous” in prosecuting him for “mishandling classified information” while going easy on former Secretary of State Hillary Clinton for more serious violations of the same law.",0,0,0,0,0,0,0,0
Carter Page told Fox News’ Sean Hannity on Monday night that the FBI’s investigation was “so incredibly stupid to begin with.,0,1,0,0,0,0,0,0
"” He added, “My biggest concern is all the damage that this did to the U.S. government [and] the mockery it made out of the Constitution and all of the wrongdoing that was done by various officials within the Department of Justice, the FBI and the DNC [Democratic National Committee].",0,0,0,0,0,0,1,0
"It is so far unknown when these documents will be declassified in an unredacted version, but it is safe to say that Democrats are probably panicking right about now.",0,0,0,0,0,0,0,0
President Donald Trump ordered the feds to declassify documents relating the Russian election meddling investigation yesterday.,1,0,0,0,0,0,0,0
Among the documents to be declassified are all of the text messages between disgraced FBI figures Peter Strzok and Lisa Page.,1,0,0,0,0,0,0,0
"government [and] the mockery it made out of the Constitution and all of the wrongdoing that was done by various officials within the Department of Justice, the FBI and the DNC [Democratic National Committee].",0,0,1,0,0,0,0,0
“You didn’t give a damn back then.,0,0,0,0,0,0,0,0
"If you want the FBI to go back that far @[email protected] to investigate Ford’s allegations…. let’s investigate my RAPE allegations against Bill Clinton, too.",0,0,0,0,1,0,0,0
The Clinton machine did nothing but shut down Broaddrick and paint her as a liar.,1,0,0,0,0,0,0,0
"Yet now the Democrats, including Feinstein, want to demand Christine Blasey Ford have her day in court, figuratively speaking, for her flimsy and meritless accusations against Kavanaugh?",0,1,0,0,0,0,0,0
"“It’s absurd,” Ms.",0,0,0,0,0,0,0,0
"Juanita Broaddrick, who accused Bill Clinton of rape — and who’s never ever recanted her story, in all the years she’s made the accusation — had a blunt message for Sen. Dianna Feinstein about the supposed “due process” that needs to be given to Brett Kavanaugh’s accuser, and it’s one that goes like this: Where was mine?",0,0,0,0,1,0,0,0
"Oh my gosh, they did not want to know about it.",0,0,0,0,0,0,0,0
” She pointed to the discrepancy between Democratic lack of interest in her case and the party’s outrage over allegations of sexual assault leveled last week against Mr. Kavanaugh.,0,0,0,0,1,0,0,0
Broaddrick has also lashed out at Sen.,0,0,0,0,0,0,0,0
